If $\left[\begin{matrix} x + y & 2 \\ 1 & x - y \end{matrix}\right]$= $\left[\begin{matrix} 3 & 2 \\ 1 & 7 \end{matrix}\right]$, then the values of x and y are|the answer is x= 5, y= -2|medium|x= 5, y= -2|x= 5, y= 2|x= 3, y= -2|x= 7, y= 1|x= 5, y= -2
If $\left[\begin{matrix} x - y & 2x + x_{1} \\ 2x - y & 3x + y_{1} \end{matrix}\right]$= $\left[\begin{matrix} -1 & 5 \\ 0 & 13 \end{matrix}\right]$ and the coordinates of P and Q are $(x, y)$ and $(x_{1}, y_{1}$ respectively. Find the value of PQ|the answer is $2\sqrt{17}$|medium|2|$\sqrt{17}$|3|$2\sqrt{17}$|$2\sqrt{17}$
Find X and Y if X + Y= $\left[\begin{matrix} 7 & 0 \\ 2 & 5 \end{matrix}\right]$ and X - Y= $\left[\begin{matrix} 3 & 0 \\ 0 & 3 \end{matrix}\right]$|the answer is X= $\left[\begin{matrix} 5 & 0 \\ 1 & 4 \end{matrix}\right]$ and Y= $\left[\begin{matrix} 2 & 0 \\ 1 & 1 \end{matrix}\right]$|medium|X= $\left[\begin{matrix} 5 & 0 \\ 1 & 4 \end{matrix}\right]$ and Y= $\left[\begin{matrix} 2 & 0 \\ 1 & 1 \end{matrix}\right]$|X= $\left[\begin{matrix} 5 & 1 \\ 1 & 4 \end{matrix}\right]$ and Y= $\left[\begin{matrix} 2 & 0 \\ 1 & 0 \end{matrix}\right]$|X= $\left[\begin{matrix} 4 & 0 \\ 1 & 3 \end{matrix}\right]$ and Y= $\left[\begin{matrix} 2 & 0 \\ 1 & 1 \end{matrix}\right]$|X= $\left[\begin{matrix} 5 & 0 \\ 1 & 4 \end{matrix}\right]$ and Y= $\left[\begin{matrix} 1 & 5 \\ 1 & 3 \end{matrix}\right]$|X= $\left[\begin{matrix} 5 & 0 \\ 1 & 4 \end{matrix}\right]$ and Y= $\left[\begin{matrix} 2 & 0 \\ 1 & 1 \end{matrix}\right]$
Given A= $\left[\begin{matrix} 1 & 2 & -3 \\ 5 & 0 & 2 \\ 1 & -1 & 1 \end{matrix}\right]$, B= $\left[\begin{matrix} 3 & -1 & 2 \\ 4 & 2 & 5 \\ 2 & 0 & 3 \end{matrix}\right]$. What the matrix C such that A + C= B|the answer is $\left[\begin{matrix} 2 & -3 & 5 \\ -1 & 2 & 3 \\ 1 & 1 & 2 \end{matrix}\right]$|easy|$\left[\begin{matrix} 2 & -3 & 5 \\ -1 & 2 & 3 \\ 1 & 1 & 2 \end{matrix}\right]$|$\left[\begin{matrix} 2 & -3 & 5 \\ 1 & 2 & 3 \\ -1 & 1 & 2 \end{matrix}\right]$|$\left[\begin{matrix} 2 & 3 & 5 \\ 1 & 2 & 3 \\ 1 & 1 & 2 \end{matrix}\right]$|none of these|$\left[\begin{matrix} 2 & -3 & 5 \\ -1 & 2 & 3 \\ 1 & 1 & 2 \end{matrix}\right]$
If A= $\left[\begin{matrix} 2 & 3 & 4 \\ -3 & 0 & 2 \end{matrix}\right]$, B= $\left[\begin{matrix} 3 & -4 & -5 \\ 1 & 2 & 1 \end{matrix}\right]$, C= $\left[\begin{matrix} 5 & -1 & 2 \\ 7 & 0 & 3 \end{matrix}\right]$. Find the matrix X such that 2A + 3B= X + C|the answer is $\left[\begin{matrix} 8 & -5 & 9 \\ -10 & 6 & 4 \end{matrix}\right]$|easy|$\left[\begin{matrix} 8 & -5 & 9 \\ -10 & 6 & 4 \end{matrix}\right]$|$\left[\begin{matrix} 7 & -5 & 8 \\ 10 & -7 & 4 \end{matrix}\right]$|$\left[\begin{matrix} 5 & 6 & 7 \\ -10 & 6 & 4 \end{matrix}\right]$|none of these|$\left[\begin{matrix} 8 & -5 & 9 \\ -10 & 6 & 4 \end{matrix}\right]$
If A= $\left[\begin{matrix} 1 & 2 & 3 \\ -1 & 0 & 2 \\ 1 & -3 & 1 \end{matrix}\right]$, B= $\left[\begin{matrix} 4 & 5 & 6 \\ -1 & 0 & 1 \\ 2 & 1 & 2 \end{matrix}\right]$, C= $\left[\begin{matrix} -1 & -2 & 1 \\ -1 & 2 & 3 \\ -1 & -2 & 2 \end{matrix}\right]$, find A - 2B + 3C|the answer is $\left[\begin{matrix} -10 & -14 & -6 \\ -2 & 6 & 9 \\ -6 & -11 & 3 \end{matrix}\right]$|easy|$\left[\begin{matrix} -10 & -14 & -6 \\ -2 & 6 & 9 \\ -6 & -11 & 3 \end{matrix}\right]$|$\left[\begin{matrix} 10 & 14 & 6 \\ -2 & 6 & 9 \\ -6 & -11 & 3 \end{matrix}\right]$|$\left[\begin{matrix} -10 & -14 & -6 \\ -2 & 6 & 9 \\ 6 & 11 & 3 \end{matrix}\right]$|none of these|$\left[\begin{matrix} -10 & -14 & -6 \\ -2 & 6 & 9 \\ -6 & -11 & 3 \end{matrix}\right]$
If P(x)= $\left[\begin{matrix} cos\cdot x & sin\cdot x \\ -sin\cdot x & cos\cdot x \end{matrix}\right]$, then which options are correct|All of these|easy|P(x)\cdot P(y)= P(x + y)|P(y)\cdot P(x)= P(x + y)|P(x)\cdot P(y)= P(y)\cdot P(x)|All of these|All of these
If A= $\left[\begin{matrix} 1 & 0 & 0 \\ 0 & 1 & 0 \\ a & b & -1 \end{matrix}\right]$, then what's the value of $A^{2}$|the answer is $I_{3}$|easy|$\left[\begin{matrix} 1 & 0 & 0 \\ 0 & 1 & 0 \\ 0 & 0 & 1 \end{matrix}\right]$|$\left[\begin{matrix} 1 & 0 & 0 \\ 0 & 1 & 0 \\ a^{2} & b^{2} & -1 \end{matrix}\right]$|$\left[\begin{matrix} 1 & 0 & 0 \\ 0 & 1 & 0 \\ a^{2} & b^{2} & 1 \end{matrix}\right]$|$I_{3}$|$\left[\begin{matrix} 1 & 0 & 0 \\ 0 & 1 & 0 \\ 0 & 0 & 1 \end{matrix}\right]$|$I_{3}$
If A= $\left[\begin{matrix} -1 & 1 & -1 \\ 3 & -3 & 3 \\ 5 & -5 & 5 \end{matrix}\right]$, B= $\left[\begin{matrix} 0 & 4 & 3 \\ 1 & -3 & -3 \\ -1 & 4 & 4 \end{matrix}\right]$. Find the value $A^{2}\cdot B^{2}$|the answer is $\left[\begin{matrix} -1 & 1 & -1 \\ 3 & -3 & 3 \\ 5 & -5 & 5 \end{matrix}\right]$|easy|$\left[\begin{matrix} -1 & 1 & -1 \\ 3 & -3 & 3 \\ 5 & -5 & 5 \end{matrix}\right]$|$\left[\begin{matrix} -1 & 1 & -1 \\ 3 & 3 & 3 \\ 5 & 5 & 5 \end{matrix}\right]$|$\left[\begin{matrix} 1 & 1 & 1 \\ 3 & -3 & 3 \\ 5 & -5 & 5 \end{matrix}\right]$|none of these|$\left[\begin{matrix} -1 & 1 & -1 \\ 3 & -3 & 3 \\ 5 & -5 & 5 \end{matrix}\right]$
If A= $\left[\begin{matrix} 2 & 3 & 4 \\ 1 & 2 & 3 \\ -1 & 1 & 2 \end{matrix}\right]$, B= $\left[\begin{matrix} 1 & 3 & 0 \\ -1 & 2 & 1 \\ 0 & 0 & 2 \end{matrix}\right]$, then AB= BA|the answer is False|easy|True|True|False|False|False
What is the product of the following two matrices $\left[\begin{matrix} 0 & c & -b \\ -c & 0 & a \\ b & -a & 0 \end{matrix}\right]$ and $\left[\begin{matrix} a^{2} & a\cdot b & a\cdot c \\ a\cdot b & b^{2} & b\cdot c \\ a\cdot c & b\cdot c & c^{2} \end{matrix}\right]$|the answer is $\left[\begin{matrix} 0 & 0 & 0 \\ 0 & 0 & 0 \\ 0 & 0 & 0 \end{matrix}\right]$|easy|$\left[\begin{matrix} 0 & 0 & 0 \\ 0 & 0 & 0 \\ 0 & 0 & 0 \end{matrix}\right]$|$\left[\begin{matrix} 1 & 0 & 0 \\ 0 & 1 & 0 \\ 0 & 0 & 1 \end{matrix}\right]$|$\left[\begin{matrix} 2 & 0 & 0 \\ 0 & 2 & 0 \\ 0 & 2 & 0 \end{matrix}\right]$|none of these|$\left[\begin{matrix} 0 & 0 & 0 \\ 0 & 0 & 0 \\ 0 & 0 & 0 \end{matrix}\right]$
If A= $\left[\begin{matrix} 3 & -5 \\ -4 & 2 \end{matrix}\right]$, find $A^{2} - 5A - 14I$, where I is the appropriate unit matrix|the answer is $\left[\begin{matrix} 0 & 0 \\ 0 & 0 \end{matrix}\right]$|easy|$\left[\begin{matrix} 3 & -5 \\ -4 & 2 \end{matrix}\right]$|$\left[\begin{matrix} 0 & 0 \\ 0 & 0 \end{matrix}\right]$|$\left[\begin{matrix} 1 & 0 \\ 0 & 1 \end{matrix}\right]$|none of these|$\left[\begin{matrix} 0 & 0 \\ 0 & 0 \end{matrix}\right]$
If A= $\left[\begin{matrix} 2 & 3 \\ 1 & 2 \end{matrix}\right]$, what's the value of $A^{3} - 4\cdot A^{2} + A$|the answer is $\left[\begin{matrix} 0 & 0 \\ 0 & 0 \end{matrix}\right]$|easy|$\left[\begin{matrix} 1 & 0 \\ 0 & 0 \end{matrix}\right]$|$\left[\begin{matrix} 0 & 0 \\ 0 & 0 \end{matrix}\right]$|$\left[\begin{matrix} 1 & 0 \\ 0 & 1 \end{matrix}\right]$|none of these|$\left[\begin{matrix} 0 & 0 \\ 0 & 0 \end{matrix}\right]$
If A= $\left[\begin{matrix} 0.8 & 0.6 \\ -0.6 & 0.8 \end{matrix}\right]$, find $A^{3}$|the answer is $\left[\begin{matrix} -0.352 & 0.936 \\ -0.936 & -0.352 \end{matrix}\right]$|medium|$\left[\begin{matrix} -0.352 & 0.936 \\ -0.936 & -0.352 \end{matrix}\right]$|$\left[\begin{matrix} 0.352 & 0.936 \\ 0.936 & 0.352 \end{matrix}\right]$|$\left[\begin{matrix} -0.352 & -0.936 \\ -0.936 & -0.352 \end{matrix}\right]$|none of these|$\left[\begin{matrix} -0.352 & 0.936 \\ -0.936 & -0.352 \end{matrix}\right]$
If A= $\left[\begin{matrix} 3 & 1 \\ -1 & 2 \end{matrix}\right]$, what's f(A), where $f(x)= x^{2} - 5x + 7$|the answer is $\left[\begin{matrix} 0 & 0 \\ 0 & 0 \end{matrix}\right]$|medium|$\left[\begin{matrix} 0.8 & 0.6 \\ -0.6 & 0.8 \end{matrix}\right]$|$\left[\begin{matrix} 0 & 0 \\ 0 & 0 \end{matrix}\right]$|$\left[\begin{matrix} 1 & 0 \\ 1 & 0 \end{matrix}\right]$|none of these|$\left[\begin{matrix} 0 & 0 \\ 0 & 0 \end{matrix}\right]$
If A= $\left[\begin{matrix} cos\theta & sin\theta \\ sin\theta & cos\theta \end{matrix}\right]$ B= $\left[\begin{matrix} cos\phi & sin\phi \\  sin\phi & cos\phi \end{matrix}\right]$, then AB= BA|the answer is True|easy|True|False|True|False|True
If A= $\left[\begin{matrix} 2 & 0 & 1 \\ 2 & 1 & 3 \\ 1 & -1 & 0 \end{matrix}\right]$, what's f(A), where $f(x)= x^{2} - 5x + 6$|the answer is $\left[\begin{matrix} 1 & -1 & -3 \\ -1 & -1 & -10 \\ -5 & 4 & 4 \end{matrix}\right]$|easy|$\left[\begin{matrix} 1 & -1 & -3 \\ -1 & -1 & -10 \\ -5 & 4 & 4 \end{matrix}\right]$|$\left[\begin{matrix} 1 & -1 & -3 \\ -1 & -1 & -10 \\ -5 & 5 & 5 \end{matrix}\right]$|$\left[\begin{matrix} 1 & -1 & -3 \\ 1 & 1 & 10 \\ -5 & 4 & 4 \end{matrix}\right]$|none of these|$\left[\begin{matrix} 1 & -1 & -3 \\ -1 & -1 & -10 \\ -5 & 4 & 4 \end{matrix}\right]$
If A= $\left[\begin{matrix} 5 & 3 \\ 12 & 7 \end{matrix}\right]$, what's $A^{2} - 12A - I$|the answer is I|easy|I|$\left[\begin{matrix} 1 & 0 \\ 0 & 1 \end{matrix}\right]$|$\left[\begin{matrix} -5 & 0 \\ 1 & 7 \end{matrix}\right]$|none of these|$\left[\begin{matrix} 1 & 0 \\ 0 & 1 \end{matrix}\right]$
If A= $\left[\begin{matrix} 1 & \omega & \omega^{2} \\ \omega & \omega^{2} & 1 \\ \omega^{2} & 1 & \omega \end{matrix}\right]$, B= $\left[\begin{matrix} \omega & \omega^{2} & 1 \\ \omega^{2} & 1 & \omega \\ \omega & \omega^{2} & 1 \end{matrix}\right]$, C= $\left[\begin{matrix} 1 \\ \omega \\ \omega^{2} \end{matrix}\right]$, what is the value of (A + B)\cdot C|the answer is $\left[\begin{matrix} 0 \\ 0 \\ 0 \end{matrix}\right]$|medium|$\left[\begin{matrix} 0 \\ 0 \\ 0 \end{matrix}\right]$|$\left[\begin{matrix} 1 \\ 0 \\ \\ 0 \end{matrix}\right]$|$\left[\begin{matrix} 1 \\ 1 \\ 1 \end{matrix}\right]$|none of these|$\left[\begin{matrix} 0 \\ 0 \\ 0 \end{matrix}\right]$
Let A= $\left[\begin{matrix} 0 & -tan\frac{\alpha}{2} \\ -tan\frac{\alpha}{2} & 0 \end{matrix}\right]$ and I the idenity matrix of order 2 $(I - A)\cdot \left[\begin{matrix} cos\alpha & -sin\alpha \\ sin\alpha & cos\alpha \end{matrix}\right]$|the answer is I + A|medium|I + A|I - 2A|2I + A|none of these|I + A
If $\left[\begin{matrix} 5 & -7 \\ -2 & 3 \end{matrix}\right]\cdot \left[\begin{matrix} x & y \\ z & u \end{matrix}\right]$= $\left[\begin{matrix} -16 & -6 \\ 7 & 2 \end{matrix}\right]$, find the value x, y, z, u|the answer is x= 1, y= -4, z= 3, u= -2|medium|x= 1, y= -4, z= 3, u= -2|x= -1, y= -4, z= 3, u= 2|x= 1, y= 5, z= 3, u= 3|x= 1, y= 2, z= 3, u= 4|x= 1, y= -4, z= 3, u= -2
What's the value of x if $\left[\begin{matrix} 1 & x & 1 \end{matrix}\right]\cdot $\left[\begin{matrix} 1 & 3 & 2 \\ 0 & 5 & 1 \\ 0 & 3 & 2 \end{matrix}\right]\cdot $\left[\begin{matrix} 1 \\ 1 \\ x \end{matrix}\right]$|the answer is $\frac{1{2}\cdot (-9\pm \sqrt{53})$|medium|$\frac{1{2}\cdot (-9\pm \sqrt{53})$|$\frac{1{2}\cdot (-9\pm \sqrt{65})$|2|7|$\frac{1{2}\cdot (-9\pm \sqrt{53})$
If A= $\left[\begin{matrix} cos^{2}\theta & cos\theta \cdot sin\theta \\ cos\theta \cdot sin\theta & sin^{2}\theta & 3 \end{matrix}\right]$ and B= $\left[\begin{matrix} cos^{2}\phi & cos\phi \cdot sin\phi \\ cos\phi \cdot sin\phi & sin^{2}\phi & 3 \end{matrix}\right]$, then A\cdot B is a zero matrix If $\theta$ and $\phi$ differ by|the answer is $(2n + 1)\cdot \frac{\pi}{2}$|medium|$(2n + 1)\cdot \frac{\pi}{2}$|$(2n + 1)\cdot \pi$|$n\cdot pi$|none of these|$(2n + 1)\cdot \frac{\pi}{2}$
If A= $\left[\begin{matrix} cos\theta & -sin\theta \\ sin\theta & cos\theta \end{matrix}\right]$ then A^{n} is|the answer is $\left[\begin{matrix} cosn\theta & -sinn\theta \\ sinn\theta & cosn\theta \end{matrix}\right]$|medium|$\left[\begin{matrix} cosn\theta & -sinn\theta \\ sinn\theta & cosn\theta \end{matrix}\right]$|$\left[\begin{matrix} cosn\theta & -sin\theta \\ sinn\theta & cos\theta \end{matrix}\right]$|$\left[\begin{matrix} cos\theta & -sinn\theta \\ sin\theta & cosn\theta \end{matrix}\right]$|none of these|$\left[\begin{matrix} cosn\theta & -sinn\theta \\ sinn\theta & cosn\theta \end{matrix}\right]$
